Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
13/02/2020,DCC - HILLCREST-CP0769859GBP,TESCO STORE 2679,51.04,0,General Retail and Wholesale,Grocery stores
14/02/2020,DCC - HILLCREST-CP0769859GBP,TESCO STORE 2679,45.16,0,General Retail and Wholesale,Grocery stores
15/02/2020,DCC - HILLCREST-CP0769859GBP,ARGOS LTD,64.98,0,General Retail and Wholesale,Discount stores
15/02/2020,DCC - HILLCREST-CP0769859GBP,TESCO STORE 2679,24.45,0,General Retail and Wholesale,Grocery stores
15/02/2020,DCC - HILLCREST-CP0769859GBP,IKEA LTD 548 EXETER EXPRE,8.5,0,General Retail and Wholesale,Furniture & home furnishing
15/02/2020,DCC - HILLCREST-CP0769859GBP,IKEA LTD 548 EXETER IKEA,18.15,0,General Retail and Wholesale,Furniture & home furnishing
16/02/2020,DCC - HILLCREST-CP0769859GBP,ARGOS LTD,-64.98,0,General Retail and Wholesale,Discount stores
16/02/2020,DCC - HILLCREST-CP0769859GBP,Amazon.co.uk AW3M664L5,70.16,0,Mail Order / Direct Selling,Direct sales companies
16/02/2020,DCC - HILLCREST-CP0769859GBP,MCDONALDS,11.26,0,Restaurants and Bars,Fast food restaurants
17/02/2020,DCC - HILLCREST-CP0769859GBP,CHIPPEE,30.4,0,Restaurants and Bars,Fast food restaurants
20/02/2020,DCC - HILLCREST-CP0769859GBP,TESCO PAY AT PUMP 3792,65,0,Automotive Fuel,Automated fuel dispensers
20/02/2020,DCC - HILLCREST-CP0769859GBP,TESCO STORE 2679,44.24,0,General Retail and Wholesale,Grocery stores
24/01/2020,DCC - LANDSCORE PRIMARY SCH,AMZNMktplace,115.8,0,General Retail and Wholesale,Miscellaneous retail
24/01/2020,DCC - LANDSCORE PRIMARY SCH,FIRSTAID4LESS.CO.UK,81.18,0,General Retail and Wholesale,Miscellaneous retail
26/01/2020,DCC - LANDSCORE PRIMARY SCH,AMZNMktplace,23.98,0,General Retail and Wholesale,Miscellaneous retail
29/01/2020,DCC - LANDSCORE PRIMARY SCH,AMZNMktplace,34.73,0,General Retail and Wholesale,Miscellaneous retail
04/02/2020,DCC - LANDSCORE PRIMARY SCH,WWW.LESAR.CO.UK,148.2,0,Computer Equipment & Services,Computer software stores
04/02/2020,DCC - LANDSCORE PRIMARY SCH,AMZNMktplace,319,0,General Retail and Wholesale,Miscellaneous retail
07/02/2020,DCC - LANDSCORE PRIMARY SCH,WWW.THELAPTOPPOWERSUPP,29.99,0,Computer Equipment & Services,"Computers, peripherals & software"
09/02/2020,DCC - LANDSCORE PRIMARY SCH,AMZNMKTPLACE AMAZON.CO.UK,32.24,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,DCC - LANDSCORE PRIMARY SCH,AMAZON.CO.UK 6E1T71C45 AM,34.13,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,DCC - LANDSCORE PRIMARY SCH,Amazon.co.uk NH5GD9ER5,19.25,0,Mail Order / Direct Selling,Direct sales companies
13/02/2020,DCC - LANDSCORE PRIMARY SCH,AMZNMktplace,21.92,0,General Retail and Wholesale,Miscellaneous retail
13/02/2020,DCC - LANDSCORE PRIMARY SCH,Trading Depot,58.52,0,General Retail and Wholesale,Hardware stores
28/01/2020,DCC - LYMPSTONE P-CP0691281GBP,EGRESS SWITCH,108,0,Computer Equipment & Services,Computer software stores
09/02/2020,DCC - LYMPSTONE P-CP0691281GBP,AMZNMKTPLACE AMAZON.CO.UK,62.42,0,General Retail and Wholesale,Miscellaneous retail
23/01/2020,DCC - MARPOOL PRI-CP0722471GBP,Amazon.co.uk 1Z3H27R15,24.98,0,Mail Order / Direct Selling,Direct sales companies
24/01/2020,DCC - MARPOOL PRI-CP0722471GBP,TOOLSTATION LTD,40.54,0,Building Materials,Timber & building supplies
24/01/2020,DCC - MARPOOL PRI-CP0722471GBP,WOLSELEY UK,108.41,0,Building Services,"Heating, plumbing & air conditioning"
24/01/2020,DCC - MARPOOL PRI-CP0722471GBP,WOLSELEY UK,0,0,Building Services,"Heating, plumbing & air conditioning"
28/01/2020,DCC - MARPOOL PRI-CP0722471GBP,AMZNMktplace,15.75,0,General Retail and Wholesale,Miscellaneous retail
28/01/2020,DCC - MARPOOL PRI-CP0722471GBP,AMZNMktplace,62.06,0,General Retail and Wholesale,Miscellaneous retail
29/01/2020,DCC - MARPOOL PRI-CP0722471GBP,SCREWFIX DIR.LTD,6.11,0,Building Materials,Timber & building supplies
29/01/2020,DCC - MARPOOL PRI-CP0722471GBP,TOOLSTATION LTD,25.06,0,Building Materials,Timber & building supplies
30/01/2020,DCC - MARPOOL PRI-CP0722471GBP,SCREWFIX EXETER SOWTON,21.06,0,Building Materials,Timber & building supplies
31/01/2020,DCC - MARPOOL PRI-CP0722471GBP,EXETER WINDOW STORE,13.78,0,Building Services,Trade contractors
31/01/2020,DCC - MARPOOL PRI-CP0722471GBP,GREENFINGERS GARDEN CT,5.49,0,Estate and Garden Services,Lawn & garden supply/nursery
03/02/2020,DCC - MARPOOL PRI-CP0722471GBP,SCREWFIX DIR.LTD,15.48,0,Building Materials,Timber & building supplies
03/02/2020,DCC - MARPOOL PRI-CP0722471GBP,SCREWFIX DIR.LTD,284.81,0,Building Materials,Timber & building supplies
05/02/2020,DCC - MARPOOL PRI-CP0722471GBP,AMZNMKTPLACE AMAZON.CO.UK,25.78,0,General Retail and Wholesale,Miscellaneous retail
06/02/2020,DCC - MARPOOL PRI-CP0722471GBP,AMZNMktplace,42.87,0,General Retail and Wholesale,Miscellaneous retail
06/02/2020,DCC - MARPOOL PRI-CP0722471GBP,AMZNMKTPLACE AMAZON.CO.UK,62.06,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,DCC - MARPOOL PRI-CP0722471GBP,AMZNMktplace,3.69,0,General Retail and Wholesale,Miscellaneous retail
23/01/2020,DCC - NEWTOEN PRI-CP0732478GBP,SAFETYSUPPL,46.14,0,General Retail and Wholesale,Department stores
24/01/2020,DCC - NEWTOEN PRI-CP0732478GBP,BLOOMS,36,0,Estate and Garden Services,Florists
28/01/2020,DCC - NEWTOEN PRI-CP0732478GBP,Twinkl Limited,51.24,0,Training and Educational,Schools
05/02/2020,DCC - NEWTOEN PRI-CP0732478GBP,AMZNMktplace,10.42,0,General Retail and Wholesale,Miscellaneous retail
06/02/2020,DCC - NEWTOEN PRI-CP0732478GBP,CURRYS ONLINE,179.99,0,General Retail and Wholesale,Electronics shops
06/02/2020,DCC - NEWTOEN PRI-CP0732478GBP,Amazon.co.uk W038X5A25,12.95,0,Mail Order / Direct Selling,Direct sales companies
23/01/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  JACKSONSART,14.58,0,General Retail and Wholesale,Antique shops
24/01/2020,DCC - SIDMOUTH CO-CP0697845GBP,Amazon.co.uk YA5G82V65,21.57,0,Mail Order / Direct Selling,Direct sales companies
27/01/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  ALAM8882000 EB,138,0,General Retail and Wholesale,Miscellaneous retail
27/01/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  TEN TORS,384,0,Leisure Activities,"Civic, social & fraternal associations"
28/01/2020,DCC - SIDMOUTH CO-CP0697845GBP,AMZNMktplace,27.57,0,General Retail and Wholesale,Miscellaneous retail
28/01/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  CORBETTMATH,10.99,0,Training and Educational,Business/secretarial school
30/01/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  OHBOT,138.16,0,General Retail and Wholesale,Electronics shops
30/01/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  PIMORONILTD,239.99,0,General Retail and Wholesale,Electronics shops
30/01/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  PIMORONILTD,355.79,0,General Retail and Wholesale,Electronics shops
01/02/2020,DCC - SIDMOUTH CO-CP0697845GBP,AMZNMktplace,88.56,0,General Retail and Wholesale,Miscellaneous retail
05/02/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  ACERBUS LTD EB,44.99,0,Computer Equipment & Services,Computer maintenance & repair
05/02/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  BOONTRADING,206.3,0,General Retail and Wholesale,Camera & photographic supply shop
07/02/2020,DCC - SIDMOUTH CO-CP0697845GBP,AMZNMktplace,25.8,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  4OURHOUSE,39.79,0,General Retail and Wholesale,Variety stores
12/02/2020,DCC - SIDMOUTH CO-CP0697845GBP,PAYPAL  CHILLISTICK,27.6,0,General Retail and Wholesale,Misc. general merchandise
13/02/2020,DCC - SIDMOUTH CO-CP0697845GBP,TELEPHONE SALE,799.95,0,Travel - Air/Rail/Road,Passenger railways
27/01/2020,DCC - ST ANDREWS-CP0687779GBP,ASDA GROCERIES ONLINE,44.97,0,General Retail and Wholesale,Grocery stores
29/01/2020,DCC - ST ANDREWS-CP0687779GBP,AMZNMktplace,5.99,0,General Retail and Wholesale,Miscellaneous retail
29/01/2020,DCC - ST ANDREWS-CP0687779GBP,LANYARDS TOMORROW,15,0,General Retail and Wholesale,Misc. general merchandise
30/01/2020,DCC - ST ANDREWS-CP0687779GBP,DEVON CONTRACT,258,0,General Retail and Wholesale,Hardware stores
30/01/2020,DCC - ST ANDREWS-CP0687779GBP,PAYPAL  GCUNIVERSE,3.99,0,General Retail and Wholesale,"Gift, card & novelty shops"
03/02/2020,DCC - ST ANDREWS-CP0687779GBP,ASDA GROCERIES ONLINE,57,0,General Retail and Wholesale,Grocery stores
03/02/2020,DCC - ST ANDREWS-CP0687779GBP,ASDA GROCERIES ONLINE,-0.75,0,General Retail and Wholesale,Grocery stores
04/02/2020,DCC - ST ANDREWS-CP0687779GBP,LONG ASH GARDEN CENTRE,43,0,Estate and Garden Services,Lawn & garden supply/nursery
04/02/2020,DCC - ST ANDREWS-CP0687779GBP,TESCO STORE 3031,10,0,General Retail and Wholesale,Grocery stores
06/02/2020,DCC - ST ANDREWS-CP0687779GBP,AMZNMKTPLACE AMAZON.CO.UK,9.23,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,DCC - ST ANDREWS-CP0687779GBP,AMZNMktplace,22.48,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,DCC - ST ANDREWS-CP0687779GBP,ASDA GROCERIES ONLINE,49.49,0,General Retail and Wholesale,Grocery stores
13/02/2020,DCC - ST ANDREWS-CP0687779GBP,CARTRIDGEPEOPLE.COM,79.8,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies
14/02/2020,DCC - ST ANDREWS-CP0687779GBP,POST OFFICE COUNTER,5.1,0,Mail and Courier Services,Postal services
17/02/2020,DCC - ST ANDREWS-CP0687779GBP,AMZNMktplace,63.96,0,General Retail and Wholesale,Miscellaneous retail
17/02/2020,DCC - ST ANDREWS-CP0687779GBP,CARTRIDGEPEOPLE.COM,59.8,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies
17/02/2020,DCC - ST ANDREWS-CP0687779GBP,CARTRIDGEPEOPLE.COM,-79.8,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies
01/02/2020,DCC - STOKEINTEIG-CP0732477GBP,EXETER SCRAPSTORE,6.5,0,General Retail and Wholesale,Art & craft shops
04/02/2020,DCC - STOKEINTEIG-CP0732477GBP,SHREDDINGMACHINES.COUK,198,0,Computer Equipment & Services,Computer software stores
04/02/2020,DCC - STOKEINTEIG-CP0732477GBP,WWW.TEACHERBOARDS.CO.UK,198.9,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies
08/02/2020,DCC - STOKEINTEIG-CP0732477GBP,IKEA LTD 548 EXETER EXPRE,38,0,General Retail and Wholesale,Furniture & home furnishing
09/02/2020,DCC - STOKEINTEIG-CP0732477GBP,WM MORRISONS STORE,5.5,0,General Retail and Wholesale,Grocery stores
10/02/2020,DCC - STOKEINTEIG-CP0732477GBP,CLASSROOMSE,170.98,0,Training and Educational,Business/secretarial school
19/02/2020,DCC - STOKEINTEIG-CP0732477GBP,WWW.PANDORABOOKS.CO.UK,36,0,Books and Periodicals,"Books, periodicals & newspapers"
19/02/2020,DCC - STOKEINTEIG-CP0732477GBP,B & Q 1334,23.3,0,General Retail and Wholesale,Home supply warehouse stores
19/02/2020,DCC - STOKEINTEIG-CP0732477GBP,B & Q 1334,0,0,General Retail and Wholesale,Home supply warehouse stores
19/02/2020,DCC - STOKEINTEIG-CP0732477GBP,WWW.UKPOS.COM,37.26,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
23/01/2020,DCC  STOKENHAM PR-CP0689085GBP,AMZNMktplace,188.29,0,General Retail and Wholesale,Miscellaneous retail
29/01/2020,DCC  STOKENHAM PR-CP0689085GBP,Amazon.co.uk 0H2VJ88P5,17.25,0,Mail Order / Direct Selling,Direct sales companies
